name,message,love_count,wow_count,haha_count,sad_count,angry_count
Would the world hire Donald Trump?,"The man famous for saying 'You're fired!' might get hired.As Donald J. Trump gains momentum toward the GOP nomination, we asked people how they view him.",231,31,63,86,785
"Video appears to show school cop slapping youngster, local media reports","It's five seconds, but it's disturbing.",11,25,40,11,242
'Robin Williams' tunnel gets its new signs,"The tunnel -- which is located in Marin County, California, on the U.S. 101 freeway just north of the Golden Gate Bridge -- had its new name approved last summer by the California state senate. The late actor used to live in Marin County.",1111,35,18,235,6
Nikki Haley to Donald Trump: 'Bless your heart',Nikki Haley took on Donald J. Trump with some sharp-elbowed Southern charm.,265,15,361,8,23
GOP at a crossroads after Trump sweeps Super Tuesday,"On the morning after #SuperTuesday, one thing is clear: the GOP is at a crossroads.",54,11,34,17,138
What would a President Trump mean for the world?,"It's hardly a certainty, but it's now a real possibility -- what should the world expect if Donald J. Trump is elected  president?",181,85,80,659,1262
Chris Christie faces backlash over Donald Trump support,They're calling Chris Christie 'an embarrassment.',155,21,854,20,66
"Voter turnout shows Trump, not Sanders, leading a revolution","Bernie Sanders often speaks about revolution, but it appears that it's Donald J. Trump who is driving record numbers of voters to the polls.",172,26,53,79,593
Trump's candidacy represents a battle for the soul of America (via CNN Opinion),"If Donald J. Trump is nominated, this election will be a fight for the soul of America, says CNN Opinion writer.",87,16,28,44,281
The abortion travel agent and other tales from Texas' new desert,Some women have to travel nearly 300 miles to reach an abortion clinic due to a 2013 Texas law that forced some clinics in the state to close. Meet the 'abortion travel agent' who helps them get there.,24,9,10,90,129
San Francisco raises smoking age to 21,"San Francisco has raised its smoking age, aiming to help teenagers who are most vulnerable to addiction at a time when their brains are still developing.",1175,210,64,17,84
Donald Trump releases health care reform plan,"The reforms in Donald J. Trump's seven-point plan, which he calls 'simply a place to start,' are aimed at broadening access to health care.",202,24,204,14,129
"Chicago has 'deadliest start to a year' in 2 decades, paper says","Chicago's 102 homicides in the first two months of 2016 is the city's 'deadliest start' since 1997, a newspaper says.",8,165,12,302,58
Ben Stein: Trump is 'dangerously misinformed',"Ben Stein says he isn't voting for Donald J. Trump: 'I like him, but he's dangerously misinformed.'",247,42,207,15,35
This Canadian island is courting 'Trump refugees',"Google searches for 'How can I move to Canada?' spiked nearly 400% in the U.S. as #SuperTuesday results came in.",1009,222,2891,68,31
"Mitt Romney: Donald Trump is a 'phony, a fraud'",Former presidential candidate Mitt Romney will urge Americans 'to make the right choices' and not support the GOP front runner during a speech he'll give today.,687,75,562,12,259
"Trump defends Trump University, says students loved it","Donald J. Trump is defending Trump University, saying that almost all of the students gave the school an 'A.'",34,8,296,9,180
10 colorful Donald Trump insults from Mitt Romney's speech,"Donald J. Trump 'is a phony, a fraud. His promises are as worthless as a degree from Trump University,' Mitt Romney said.",544,36,855,9,164
"With Trump's orders, military could face Nuremberg-like trial","Members of the military who followed a would-be President Donald J. Trump's order could face a Nurmberg-like war crimes trial, a former U.S. defense secretary tells CNN.",25,124,50,23,161
Christie: 'I wasn't being held hostage' at Trump event,"'No, I wasn't being held hostage. No, I wasn't sitting up there thinking, 'Oh, my God, what have I done?'' Chris Christie said.",60,19,974,10,26
'Bernie baby' dies from SIDS,"#BernieBaby left a warm 'Bern' in the hearts of Bernie Sanders supporters, but his family is now mourning his death.",48,86,11,4846,9
Caitlyn Jenner: I'd be 'trans ambassador' for Ted Cruz if he wins,"Caitlyn Jenner revealed in a new interview that she likes Ted Cruz, and would be open to serving as his 'trans ambassador' if he becomes president.",38,133,1091,55,570
"Mexico won't pay for Donald Trump's wall, treasury secretary says","'There is no scenario in which Mexico will pay for this wall that is being proposed' by Donald J. Trump, Mexico's treasury secretary said.",181,23,798,6,32
Romney's advisers explore blocking Trump at RNC,"Mitt Romney instructed his closest advisers to explore stopping Donald J. Trump at the Republican National Convention, a source says.",207,23,91,9,147
Fox News Republican debate: Live updates,"Marco Rubio, Donald J. Trump, Ted Cruz and John Kasich appear in a #GOPDebate with moderators including Megyn Kelly.Follow along with live updates from CNN Politics.",15,16,65,10,73
Donald Trump defends the size of his penis,"Donald J. Trump responded to Marco Rubio's joke about the size of his ... hands: 'I guarantee you there's no problem.' #GOPDebate",60,409,1127,85,228
The most memorable quotes from the Republican debate in Detroit,"Sure, Marco Rubio and Donald J. Trump discussed the size of Trump's hands, and other things, at #GOPDebate.But the candidates also talked about a proposed Mexican border wall and Megyn Kelly and ...",7,11,128,8,73
The GOP debate turns dirty,"The #GOPDebate opened with Donald J. Trump boasting about the size of his genitals.From there it moved to immigration policy, Trump University and even yoga moves.",22,50,288,54,239
Megyn Kelly is Donald Trump's toughest adversary in GOP debate,"Donald J. Trump met his #GOPDebate match, and it wasn't Marco Rubio or Ted Cruz. It was Megyn Kelly.",360,22,372,8,43
7 takeaways from the Republican debate,"After a PG-13 start filled with insults, the #GOPDebate ended with pledges from some candidates.",6,15,61,6,24
"Spain seizes 20,000 ISIS and al-Nusra uniforms",The uniforms were hidden in shipping containers and declared as 'secondhand clothes' to avoid suspicion.,24,286,29,7,206
North Korea orders nukes to be ready for use,"North Korea's 'nuclear warheads need to be ready for use at any time,' said Kim Jong Un.",36,220,149,72,534
Bobbi Kristina Brown's autopsy results to be unsealed,"More than a year after Bobbi Kristina Brown was found unconscious in a bathtub, a judge in Atlanta has granted a motion to unseal her autopsy results.",9,28,8,139,16
Size matters: GOP lowers bar at Fox debate (opinion),"'Donald J. Trump maintained his dominance, but the real winner was Hillary Clinton' says Raul A. Reyes for CNN Opinion. #GOPDebate",89,13,208,14,34
Marco Rubio: Donald Trump 'the most vulgar person to ever aspire to the presidency','Donald Trump has been perhaps the most vulgar -- no I don't think perhaps -- the most vulgar person to ever aspire to the presidency in terms of how he's carried out his candidacy.'Marco Rubio says Donald J. Trump's vulgarity has prevented candidates from discussing policies.,317,46,324,53,124
Is the Republican Party over?,'Mitt Romney's stand may be remembered as the moment that the GOP establishment's long-brewing horror over Donald J. Trump burst into open political combat.',58,24,172,8,24
"Zoe Saldana, Nina Simone and painful history of blackface (via CNN Opinion)","To have Nina Simone portrayed by someone who's darkened her skin is an affront, writes Lisa Respers France for CNN Opinion.",18,36,9,15,84
Debate coach: Trump gets an 'F' in GOP debate,"Debate coach: If people knew nothing about Donald J. Trump but what they learned from Thursday night's debate, he'd have no chance to win the Republican nomination.",186,15,393,7,49
"Knife found on ex-O.J. Simpson estate, police say",Police are examining a knife reportedly found on estate once owned by O.J. Simpson.,16,307,39,7,108
Donald Trump reverses position on torture,Donald J. Trump's position seems to have shifted dramatically in less than 24 hours.,17,36,482,16,257
President Trump: A six year old with nuclear weapons? (via CNN Opinion),"'When I look at myself in the first grade and I look at myself now, I'm basically the same. The temperament is not that different.' -- Donald J. Trump",38,245,485,40,115
"Ben Carson ends presidential campaign, reveals next move","'You know there's a lot of people who love me. They just won't vote for me,' Dr. Ben Carson told a CPAC gathering as he made the announcement.",151,50,621,505,12
Donald Trump rally disrupted by more than 2 dozen Black Lives Matter protesters,"More than two dozen protesters chanting 'black lives matter' disrupted Donald J. Trump's rally in New Orleans, linking arms and resisting security personnel.",862,62,486,22,163
"Hillary Clinton, Donald Trump seek more wins on Super Saturday",The new round of voting comes amid an uproar in the Republican Party over the increasing likelihood that Donald J. Trump will emerge as the GOP nominee.,84,35,26,25,119
Breastfeeding mom at Sanders rally inspires hashtag,"A mother's breastfeeding photo has once again gone viral, only this time it was taken at a Bernie Sanders rally, inspiring the hashtag '#BoobsForBernie.'",761,36,411,9,25
Star-studded wedding for Rupert Murdoch and Jerry Hall,Global media mogul Rupert Murdoch married model Jerry Hall in a ceremony attended by family and celebrity friends.,34,29,69,8,10
Louis C.K.: 'Insane bigot' Donald Trump 'is Hitler',Add comedian Louis C.K. to the growing list of critics to publicly condemn and compare Donald J. Trump to Adolf Hitler.,384,23,239,8,77
"Donald Trump asks backers to swear their support, vows to broaden torture laws",'Let's do a pledge. Who likes me in this room?' Donald J. Trump asked the crowd. 'I've never done this before. Can I have a pledge? A swearing? Raise your right hand.',97,169,134,295,1191
Scuba diver sucked into nuclear power plant intake pipe,WATCH: A Florida man survived a harrowing experience after he was sucked into an intake pipe for a nuclear power plant while scuba diving.,7,412,13,40,10
Trump on torture: 'We have to beat the savages',Donald J. Trump is casting aside any doubt about his position on torture: He's in favor of it because 'we have to beat the savages.',154,51,58,66,756
"Just In: Marco Rubio wins Puerto Rico primary, CNN projects",BREAKING: CNN projects that Marco Rubio will win the Republican primary in Puerto Rico.,155,36,372,15,50
North Korea threatens preemptive nuclear strike,North Korea warned it would make a 'preemptive and offensive nuclear strike' in response to joint U.S.-South Korean military exercises set to begin Monday.,64,287,1376,128,1196
"Sanders to Clinton: 'Excuse me, I'm talking'","'Excuse me, I'm talking,' Bernie Sanders told Hillary Clinton at Sunday night's #DemDebate.",497,28,499,6,98
Why is the Erin Andrews nude video still online?,'You don't really realize how long four minutes is until it's your naked body.',18,21,26,301,324
"Some 10,000 migrants are waiting at the Greek border with Macedonia","With the flood of migrants to Europe showing no sign of abating, European Union leaders are meeting with the Prime Minister of Turkey to discuss ways of staunching the flow.",7,24,8,84,98
Iranian billionaire sentenced to death,Babak Zanjani was convicted of embezzling billions of dollars from the national oil company.,12,156,56,14,14
How the Syrian crisis came home to small town Canada,This small city in Canada welcomes Syrian refugees with open arms.,420,17,9,7,76
U.S. military closer to making cyborgs a reality,The Army's real life 'Iron Man' suits.The U.S. military is spending millions on an advanced implant that would allow a human brain to communicate directly with computers.,109,416,11,12,35
Supreme Court reverses decision against gay adoption,The U.S. Supreme Court has summarily reversed an Alabama Supreme Court decision that had refused to recognize a same- sex parent adoption from another state.,634,22,16,10,76
Bernie Sanders: 'My father's family was wiped out by Hitler in the Holocaust',"'I am very proud to be Jewish, and being Jewish is so much of what I am,' Bernie Sanders said at the #DemDebate in Flint, Michigan.",358,25,7,447,16
NRA: Bernie Sanders 'spot-on' on guns in debate,Bernie Sanders is getting praise from an unlikely source Monday...,148,27,84,8,26
Maria Sharapova admits to failing drug test,Just in: Tennis star Maria Sharapova has admitted to failing a drug test taken at the Australian Open.,20,285,50,323,35
Erin Andrews awarded $55 million in suit over nude video,Erin Andrews' attorney encouraged the jury to award her damages that took into account the 'full amount of harm that's been done to her.',345,270,32,15,63
Why women pay more than men for the same stuff,"It's often called the 'pink tax,' and it's more complicated than it seems.",15,128,52,17,585
Mexican president: Donald Trump is damaging US-Mexico relations,Vicente Fox Quesada: 'I'm not going to pay for that f---ing wall.'Donald J. Trump: 'The wall just got ten feet taller.'Presidente Enrique Peña Nieto: Trump has damaged the relationship between the U.S. and Mexico.,96,87,569,332,249
Some Rubio advisers say get out before Florida,"A battle is being waged within Marco Rubio's campaign about whether he should stay in the race ahead of his home state primary, sources say.",27,12,161,7,35
Sanders plays defense on debate 'ghetto' comment,"'When you're white, you don't know what it's like to be living in a ghetto, you don't know what it's like to be poor.'Just a day before the Michigan primary, Bernie Sanders was on clean-up duty for his comments during the #DemDebate.",88,35,57,17,300
White House 'surprised' to learn Netanyahu turned down meeting,The White House says it learned through press reports that Israeli Prime Minister Benjamin Netanyahu had declined an invitation to meet President Obama later this month in Washington.,56,120,248,22,78
Opinion: Trump's 'size' is now a campaign issue. How's Hillary Clinton supposed to deal with that?,"'Arguably Donald J. Trump can somehow get away with an unprecedented degree of bad behavior because he's Donald Trump. And arguably, Hillary Clinton has to mind her Ps and Qs and Ds -- and everything else for that matter -- because she's a woman.'--Sally Kohn",51,23,165,13,240
Maria Sharapova loses endorsement deals after failing drug test,Nike and other companies are suspending their relationships with Maria Sharapova after the tennis star admitted to failing a drug test.,22,92,54,185,24
Donald Trump responds to Adolf Hitler comparison,"'I hadn't heard that, but it's a terrible comparison. I'm not happy about that certainly.'",31,35,424,15,234
